time,GEN1:Vt
0,1.00233
0.01,1.00233
0.02,1.00233
0.03,1.00233
0.04,1.00233
0.05,1.00233
0.06,1.00233
0.07,1.00233
0.08,1.00233
0.09,1.00233
0.1,1.00233
0.11,1.00233
0.12,1.00233
0.13,1.00233
0.14,1.00233
0.15,1.00233
0.16,1.00233
0.17,1.00233
0.18,1.00233
0.19,1.00233
0.2,1.00233
0.21,1.00233
0.22,1.00233
0.23,1.00233
0.24,1.00233
0.25,1.00233
0.26,1.00233
0.27,1.00233
0.28,1.00233
0.29,1.00233
0.3,1.00233
0.31,1.00233
0.32,1.00233
0.33,1.00233
0.34,1.00233
0.35,1.00233
0.36,1.00233
0.37,1.00233
0.38,1.00233
0.39,1.00233
0.4,1.00233
0.41,1.00233
0.42,1.00233
0.43,1.00233
0.44,1.00233
0.45,1.00233
0.46,1.00233
0.47,1.00233
0.48,1.00233
0.49,1.00233
0.5,1.00233
0.51,1.00233
0.52,1.00233
0.53,1.00233
0.54,1.00233
0.55,1.00233
0.56,1.00233
0.57,1.00233
0.58,1.00233
0.59,1.00233
0.6,1.00233
0.61,1.00233
0.62,1.00233
0.63,1.00233
0.64,1.00233
0.65,1.00233
0.66,1.00233
0.67,1.00233
0.68,1.00233
0.69,1.00233
0.7,1.00233
0.71,1.00233
0.72,1.00233
0.73,1.00233
0.74,1.00233
0.75,1.00233
0.76,1.00233
0.77,1.00233
0.78,1.00233
0.79,1.00233
0.8,1.00233
0.81,1.00233
0.82,1.00233
0.83,1.00233
0.84,1.00233
0.85,1.00233
0.86,1.00233
0.87,1.00233
0.88,1.00233
0.89,1.00233
0.9,1.00233
0.91,1.00233
0.92,1.00233
0.93,1.00233
0.94,1.00233
0.95,1.00233
0.96,1.00233
0.97,1.00233
0.98,1.00233
0.99,1.00233
1,1.00233
1.01,0.00089
1.02,0.00087
1.03,0.00085
1.04,0.00084
1.05,0.00083
1.06,0.00082
1.07,0.00081
1.08,0.00081
1.09,0.00080
1.1,0.00080
1.11,0.00080
1.12,0.00079
1.13,0.00079
1.14,0.00079
1.15,0.00079
1.16,0.00078
1.17,0.00078
1.18,0.00078
1.19,0.00078
1.2,0.00078
1.21,0.87325
1.22,0.89349
1.23,0.90856
1.24,0.91982
1.25,0.92827
1.26,0.93450
1.27,0.93929
1.28,0.94303
1.29,0.94598
1.3,0.94835
1.31,0.95030
1.32,0.95193
1.33,0.95333
1.34,0.95455
1.35,0.95563
1.36,0.95660
1.37,0.95748
1.38,0.95828
1.39,0.95900
1.4,0.95967
1.41,0.96027
1.42,0.96082
1.43,0.96131
1.44,0.96175
1.45,0.96213
1.46,0.96247
1.47,0.96276
1.48,0.96301
1.49,0.96323
1.5,0.96341
1.51,0.96357
1.52,0.96370
1.53,0.96382
1.54,0.96393
1.55,0.96403
1.56,0.96412
1.57,0.96422
1.58,0.96433
1.59,0.96444
1.6,0.96456
1.61,0.96470
1.62,0.96485
1.63,0.96500
1.64,0.96518
1.65,0.96536
1.66,0.96555
1.67,0.96575
1.68,0.96595
1.69,0.96616
1.7,0.96636
1.71,0.96657
1.72,0.96677
1.73,0.96696
1.74,0.96714
1.75,0.96731
1.76,0.96748
1.77,0.96762
1.78,0.96776
1.79,0.96789
1.8,0.96800
1.81,0.96810
1.82,0.96819
1.83,0.96828
1.84,0.96836
1.85,0.96844
1.86,0.96852
1.87,0.96860
1.88,0.96868
1.89,0.96877
1.9,0.96887
1.91,0.96898
1.92,0.96911
1.93,0.96925
1.94,0.96940
1.95,0.96957
1.96,0.96976
1.97,0.96996
1.98,0.97018
1.99,0.97041
2,0.97065
2.01,0.97091
2.02,0.97118
2.03,0.97146
2.04,0.97175
2.05,0.97204
2.06,0.97233
2.07,0.97262
2.08,0.97291
2.09,0.97320
2.1,0.97348
2.11,0.97375
2.12,0.97402
2.13,0.97428
2.14,0.97452
2.15,0.97476
2.16,0.97498
2.17,0.97519
2.18,0.97539
2.19,0.97558
2.2,0.97576
2.21,0.97592
2.22,0.97608
2.23,0.97623
2.24,0.97637
2.25,0.97651
2.26,0.97664
2.27,0.97676
2.28,0.97688
2.29,0.97700
2.3,0.97711
2.31,0.97722
2.32,0.97734
2.33,0.97745
2.34,0.97756
2.35,0.97767
2.36,0.97777
2.37,0.97788
2.38,0.97799
2.39,0.97810
2.4,0.97820
2.41,0.97831
2.42,0.97841
